age,sector,paytype,inquiretype,area,seoul,gyeonggi,busan,incheon,daegu,gwangju,gyeongnam,chungnam,daejeon,chungbuk,gyeongsangbuk,ulsan,sejong,jeonbuk,gangwon,jeonnam,jeju,ment,company_ment
20,룸싸롱,일급,계정문의,서울,강남구,고양시,강서구,강화군,달서구,서구,거제시,계룡시,대덕구,청주시,괴산군,남구,세종시,고창군,강릉시,강진군,서귀포시,일자리 아무거나 구하러 왔어요~,부자 만들어 드려요~
21,편의점,시급,결제문의,경기,강동구,수원시,금정구,계양구,동구,북구,거창군,공주시,서구,,단양군,동구,,군산시,고성군,고흥군,제주시,안전한 일자리 구하고 싶어요~,성실한 가족을 찾아요~
22,텐프로/쩜오,주급,광고문의,부산,강북구,부천시,기장군,남구,수성구,광산구,고성군,금산군,유성구,,보은군,북구,,김제시,동해시,곡성군,,초보자예요.. 잘 부탁드려요~,일단 연락주세요~
23,식당,월급,협력문의,인천,강서구,성남시,남구,남동구,북구,동구,김해시,논산시,중구,,영동군,울주군,,남원시,삼척시,광양시,,가족같이 일하고 싶어요~,안전하게 지켜드립니다~
24,노래/단란주점,TC,제휴문의,대구,관악구,화성시,동구,동구,남구,,남해군,당진시,동구,,옥천군,,,무주군,속초시,구례군,,급여 잘 나오는 곳을 찾아요~,좋은 환경에서 일해요~
25,BAR,면접,스폰문의,광주,광진구,안양시,동래구,부평구,중구,,밀양시,보령시,,,음성군,,,부안군,양구군,나주시,,경력 우대해 주는 곳을 찾아요~,우리의 가족이 되어주세요~
26,술집,협의,,경남,구로구,안산시,부산진구,서구,서구,,사천시,부여군,,,제천시,,,순창군,양양군,담양군,,급하게 일자리 찾아요~,급하게 구하고 있어요~
27,카페,,,충남,금천구,용인시,북구,연수구,,,산청군,서산시,,,증평군,,,완주군,영월군,목포시,,텃세 없는 일자리 찾아요~,언제든지 연락주세요~
28,요정,,,대전,노원구,광명시,사상구,옹진군,,,양산시,서천군,,,진천군,,,익산시,원주시,무안군,,,
29,볼링장,,,충북,도봉구,의정부시,사하구,중구,,,의령군,아산시,,,청주시,,,임실군,인제군,보성군,,,
30,다방,,,경북,동대문구,김포시,서구,,,,진주시,예산군,,,충주시,,,장수군,정선군,순천시,,,
31,기타,,,울산,동작구,평택시,수영구,,,,창녕군,천안시,,,,,,전주시,철원군,신안군,,,
32,,,,세종,마포구,시흥시,연제구,,,,창원시,청양군,,,,,,정읍시,춘천시,여수시,,,
33,,,,전북,서대문구,군포시,영도구,,,,통영시,태안군,,,,,,진안군,태백시,영광군,,,
34,,,,강원,서초구,광주시,,,,,하동군,홍성군,,,,,,,평창군,영암군,,,
35,,,,전남,성동구,파주시,,,,,함안군,,,,,,,,홍천군,완도군,,,
36,,,,제주,성북구,오산시,,,,,함양군,,,,,,,,화천군,장성군,,,
37,,,,,송파구,이천시,,,,,,,,,,,,,횡성군,장흥군,,,
38,,,,,양천구,,,,,,,,,,,,,,,진도군,,,
39,,,,,영등포구,,,,,,,,,,,,,,,함평군,,,
40,,,,,용산구,,,,,,,,,,,,,,,해남군,,,
41,,,,,은평구,,,,,,,,,,,,,,,화순군,,,
42,,,,,종로구,,,,,,,,,,,,,,,,,,
43,,,,,중구,,,,,,,,,,,,,,,,,,
44,,,,,중랑구,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,
